NOME_DO_LOCAL,ENDERECO,WHATSAPP,ITENS_DISPONIVEIS,ITENS_EM_FALTA,LATITUDE,LONGITUDE,CIDADE
CENTRO HUMANISTA,"Av. baltazar de oliveira garcia, 2132 - Porto Alegre - Rio Grande do Sul",https://chat.whatsapp.com/Fs967Q6vvIn6F77pBUTnyF,Água,"Lanternas, Roupas para crianças, Comidas Não Perecíveis, Pratos, Lençóis, Cadeiras (tipo de praia), Absorventes higiênicos, Kits de primeiros socorros, Fórmula infantil, Colchões",-30.0106249,-51.1227617,Porto Alegre
IGREJA HEBROM - CANOAS,Av Esperança 1560 - Rio Grande do Sul,51992726416,Água,"Caixas de papelão , Lixeiras, Carne Gado, Gaze, Termômetro, luvas, Álcool, Repelente, Massa, Descarpack Caixa",-29.3646459,-51.6657692,Boa Vista do Sul
SIMERS,"Rua Coronel Corte Real, 975 - Petrópolis, Porto Alegre - Rio Grande do Sul",Não informado,Água,"Mamadeira, Roupas para crianças, Soro, Chupeta/bico, Gaze, Lenços umedecidos, Sabonetes, Escova de dentes, Repelente, Colchões",-30.049224,-51.195563,Porto Alegre
ULBRA PRÉDIO 55 - CANOAS,"Av. Farroupilha, 8001 - São José, Canoas - RS, 92425-020 - Rio Grande do Sul",51984096445,Água,"Shampoo e Condicionador, Plus Size/GG, Pás, Desodorante , Voluntário - Noite, Shampoo, Veterinários, Luvas, Remédios básicos, Roupas íntimas",-29.8862227,-51.166325,Canoas
ASSOCIAÇÃO MORADORES JARDIM LUCIANA - SÃO LEOPOLDO,"Rua Tio Tiete, 510 - Jardim Luciana - Rio Grande do Sul",Não informado,Água,"Medicamentos prescritos, Comidas Não Perecíveis, Turnos de manhã, Pratos, Lençóis, Absorventes higiênicos, Turnos de noite, Fraldas, Fórmula infantil, Colchões",-29.3646459,-51.6657692,Boa Vista do Sul
PARÓQUIA SANTA CLARA,"Estrada João De Oliveira Remião, 4444 - Lomba Do Pinheiro - Rio Grande do Sul",Não informado,Água,"Comidas Não Perecíveis, Ventilador, Roupa Íntima (adulto) Feminina E Masculina, Luvas De Limpeza, Toalhas de banho, Ventiladores, Repelente, Vassouras, Massa, Sacos de lixo",-30.1081531,-51.112884,Porto Alegre
IGREJA REVIVER,"Av. Edgar Pires De Castro, 803 - Hípica - Rio Grande do Sul",51984932401,Água,"Pomadas, Feijão , Tênis, Chinelos, Oléo, Roupas para frio, Leite em pó, Vassouras, Luvas, Roupas íntimas",-30.1566507,-51.1838467,Porto Alegre
USINA DO GASÔMETRO,"na praça em frente ao Gasômetro, astrás do parque Harmonia - Rio Grande do Sul",Não informado,Água,"Gelo, Azitotromicina, Papel higiênico, Absorventes higiênicos, Chinelos, Sacolinhas plasticas para kits , Gás, Ração para animais, Antibiótico , Suco de caixinha ",-29.2261123,-51.3378413,Farroupilha
ESCOLA ARAMY SILVA (EMEF),"R. Chico Pedro, 390 - Camaquã, Porto Alegre - Rio Grande do Sul",Não informado,Água,"Jornal (para xixi e coco), Lanternas, Caixa de areia (gato), Voluntários Para Animais (não Necessariamente Veterinário/a), Alimentos Diets, Luz de Emergência, Kits de primeiros socorros, Lanterna, Lonas, Água",-30.0978373,-51.2416315,Porto Alegre
COLÉGIO MESQUITA,"Av. do Forte, 77 - Rio Grande do Sul",Não informado,Água,"Comidas Não Perecíveis, Lençóis, Travesseiros/almofada, Fraldas, Chinelos masculinos, Voluntário - Noite, Fórmula infantil, Roupas íntimas, Água potável, Itens de limpeza",-30.011603,-51.1536087,Porto Alegre
